#--------------------------------------------------------------------------------,
        16,       75.,0, ,      27.5,0, ,
        17,       80.,0, ,      27.1,0, ,
        18,       85.,0, ,      26.7,0, ,
        19,       90.,0, ,      26.2,0, ,
        20,       95.,0, ,      25.8,0, ,
        21,      100.,0, ,      25.3,0, ,
        22,      125.,0, ,      23.0,0, ,
        23,      150.,0, ,      20.7,0, ,
        24,      175.,0, ,      19.1,0, ,
        25,      200.,0, ,      17.9,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        5004959,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-1004        ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,          13.03,decimal degrees,,
Longitude                   ,,          56.56,decimal degrees,,
Year                        ,,           1981,,,
Month                       ,,              5,,,
Day                         ,,             23,,,
Time                        ,,            6.0,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       9300131.,NODC code,,
Bottom depth                ,,          3500.,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      30.0,0, ,
         2,        5.,0, ,      30.0,0, ,
         3,       10.,0, ,      30.0,0, ,
         4,       15.,0, ,      30.0,0, ,
         5,       20.,0, ,      30.0,0, ,
         6,       25.,0, ,      30.0,0, ,
         7,       30.,0, ,      29.9,0, ,
         8,       35.,0, ,      29.8,0, ,
         9,       40.,0, ,      29.6,0, ,
        10,       45.,0, ,      28.5,0, ,
        11,       50.,0, ,      27.7,0, ,
        12,       55.,0, ,      27.2,0, ,
        13,       60.,0, ,      26.9,0, ,
        14,       65.,0, ,      26.6,0, ,
        15,       70.,0, ,      26.2,0, ,
        16,       75.,0, ,      25.9,0, ,
        17,       80.,0, ,      25.6,0, ,
        18,       85.,0, ,      25.2,0, ,
        19,       90.,0, ,      24.9,0, ,
        20,       95.,0, ,      24.6,0, ,
        21,      100.,0, ,      24.3,0, ,
        22,      125.,0, ,      22.0,0, ,
        23,      150.,0, ,      19.5,0, ,
        24,      175.,0, ,      18.1,0, ,
        25,      200.,0, ,      17.3,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7919744,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-126584      ,,,
Originators Station ID      ,,          33600,,,integer,
Originators Cruise ID       ,,14             ,,,
Latitude                    ,,         12.650,decimal degrees,,
Longitude                   ,,         58.817,decimal degrees,,
Year                        ,,           1982,,,
Month                       ,,              9,,,
Day                         ,,              4,,,
